DAY,TEMP
202301,-2.3
202301,-4.8
202301,-6.3
202301,-3.9
202301,-3.7
202301,-1.2
202301,1.6
202301,-0.9
202301,1.7
202301,-0.7
202301,-0.2
202301,2.8
202301,8.6
202301,6.6
202301,0.2
202301,-3.7
202301,-3.1
202301,-1.9
202301,-0.4
202301,-2.1
202301,-5
202301,-1
202301,-0.4
202301,-11.9
202301,-12.1
202301,-6.4
202301,-8
202301,-5.7
202301,-1.9
202301,-1.6
202301,0.1
202302,1.3
202302,-2.6
202302,-1.9
202302,-2.4
202302,-1.2
202302,0.5
202302,1.5
202302,0.3
202302,2.4
202302,3.1
202302,0.2
202302,0.9
202302,5.7
202302,1.1
202302,2.3
202302,2.2
202302,3.4
202302,5.5
202302,3.1
202302,-1.3
202302,-2
202302,0.2
202302,2
202302,2.6
202302,-0.1
202302,0.2
202302,2.2
202302,4.2
202303,5.7
202303,1.5
202303,2.6
202303,4.7
202303,5.8
202303,6.4
202303,10.1
202303,12
202303,12.6
202303,12.3
202303,14.9
202303,6
202303,3.2
202303,7.8
202303,9.4
202303,5.1
202303,6.5
202303,7.8
202303,6.3
202303,8.1
202303,11.3
202303,15.4
202303,14.2
202303,10.8
202303,11.4
202303,9.2
202303,5.7
202303,7.1
202303,10
202303,11.6
202303,12.5
202304,14.6
202304,15.1
202304,15.6
202304,15.6
202304,13
202304,9.3
202304,7.9
202304,7.2
202304,8.8
202304,11
202304,14.7
202304,9.3
202304,11.7
202304,15.1
202304,12.5
202304,10.9
202304,12.4
202304,13.7
202304,19.5
202304,18.1
202304,16.9
202304,15.5
202304,14.9
202304,13.7
202304,8.8
202304,7.4
202304,11.1
202304,15.3
202304,13.4
202304,13.7
202305,13.3
202305,15.4
202305,18.5
202305,19.8
202305,19.3
202305,14.2
202305,11.8
202305,12.4
202305,14.7
202305,16.4
202305,17
202305,17.3
202305,16.7
202305,16.4
202305,19
202305,21.4
202305,21.8
202305,19.7
202305,19.6
202305,20
202305,18.3
202305,17.7
202305,17.6
202305,18.6
202305,19.6
202305,20.2
202305,18.9
202305,19.7
202305,20.6
202305,21.6
202305,20.9
202306,21.5
202306,20.2
202306,20.8
202306,20.7
202306,20.2
202306,19.8
202306,21
202306,21.4
202306,22.4
202306,22.7
202306,22.2
202306,21.9
202306,21.6
202306,20.8
202306,21.3
202306,22.4
202306,23
202306,24.2
202306,26.1
202306,23.1
202306,20.5
202306,22.4
202306,23.8
202306,25.3
202306,26
202306,23.8
202306,25.5
202306,24.3
202306,24.2
202306,24.9
202307,26.4
202307,25.9
202307,27.4
202307,24.1
202307,23.8
202307,25.2
202307,21.5
202307,24.1
202307,25
202307,25.8
202307,23.7
202307,26.2
202307,25
202307,24.7
202307,23.1
202307,24
202307,25.3
202307,23.7
202307,25.1
202307,25.4
202307,27.2
202307,25.5
202307,24.9
202307,25.8
202307,25.7
202307,25.9
202307,26.9
202307,27.8
202307,28.1
202307,27.4
202307,27.5
202308,28.3
202308,27.8
202308,27.9
202308,28.8
202308,28.8
202308,29.1
202308,28.2
202308,29.4
202308,26.8
202308,22
202308,24.8
202308,24.1
202308,26.1
202308,27.3
202308,27.5
202308,25.9
202308,26.1
202308,27.1
202308,27.2
202308,27.3
202308,27.5
202308,26.4
202308,25.9
202308,25.4
202308,25.4
202308,24
202308,25.1
202308,25.5
202308,24.4
202308,21.4
202308,22.1
202309,22.1
202309,23.8
202309,26.1
202309,26.7
202309,25.6
202309,25.2
202309,23.2
202309,21.8
202309,23.2
202309,23.6
202309,24
202309,23.7
202309,20.6
202309,22.2
202309,22
202309,23.1
202309,24.1
202309,23.8
202309,22.2
202309,20.8
202309,18.9
202309,17.6
202309,19.4
202309,20.2
202309,21
202309,20.5
202309,21.2
202309,21.4
202309,19.2
202309,18.5
202310,16.6
202310,15.4
202310,14.6
202310,16.8
202310,14.1
202310,12.9
202310,14.9
202310,16.7
202310,16.6
202310,15.5
202310,14.7
202310,14.5
202310,14.8
202310,13
202310,14
202310,12.6
202310,11
202310,13.1
202310,14.1
202310,12.3
202310,8.7
202310,10.2
202310,12.8
202310,12.3
202310,13.7
202310,16.1
202310,13.8
202310,11.5
202310,11.3
202310,12.2
202310,13.5
202311,17.1
202311,18.4
202311,18.2
202311,17.8
202311,19
202311,14.9
202311,6.9
202311,6.6
202311,11.2
202311,5.3
202311,1.3
202311,0.8
202311,1.6
202311,4.6
202311,5.2
202311,5.1
202311,2.4
202311,1.7
202311,7.2
202311,4.4
202311,4.3
202311,6.7
202311,10.3
