LOC,DAY,TEMP
울산,202101,-0.8
울산,202101,-0.1
울산,202101,-0.3
울산,202101,0.8
울산,202101,0.8
울산,202101,-3.2
울산,202101,-7.2
울산,202101,-8.7
울산,202101,-6.4
울산,202101,-3.2
울산,202101,-1.1
울산,202101,0.1
울산,202101,5.9
울산,202101,6.8
울산,202101,10.8
울산,202101,3.5
울산,202101,-1.7
울산,202101,0.7
울산,202101,-1.9
울산,202101,3.6
울산,202101,7.4
울산,202101,9.5
울산,202101,10.1
울산,202101,8.9
울산,202101,8.8
울산,202101,6.7
울산,202101,5.6
울산,202101,3.1
울산,202101,-3.5
울산,202101,2.5
울산,202101,6.9
울산,202102,10.6
울산,202102,0.9
울산,202102,-0.2
울산,202102,3.6
울산,202102,5.3
울산,202102,8.7
울산,202102,9
울산,202102,1.5
울산,202102,2.1
울산,202102,6.2
울산,202102,6.9
울산,202102,9.3
울산,202102,10.6
울산,202102,10.8
울산,202102,8
울산,202102,1.1
울산,202102,-3.9
울산,202102,-3.9
울산,202102,5.1
울산,202102,13.3
울산,202102,16.6
울산,202102,16.5
울산,202102,6.2
울산,202102,6
울산,202102,7.1
울산,202102,8.8
울산,202102,7
울산,202102,9.7
울산,202103,11.3
울산,202103,2.5
울산,202103,4.7
울산,202103,8.3
울산,202103,11.5
울산,202103,6.9
울산,202103,5.2
울산,202103,6.2
울산,202103,8.8
울산,202103,8.6
울산,202103,9.3
울산,202103,9.4
울산,202103,9.8
울산,202103,10.5
울산,202103,12.8
울산,202103,15.3
울산,202103,10
울산,202103,9.8
울산,202103,10.9
울산,202103,10.3
울산,202103,9.7
울산,202103,7.7
울산,202103,11.8
울산,202103,13.2
울산,202103,13.5
울산,202103,14.6
울산,202103,13.5
울산,202103,17.4
울산,202103,16.3
울산,202103,13.1
울산,202103,12.4
울산,202104,13.4
울산,202104,13.9
울산,202104,14.7
울산,202104,9.9
울산,202104,10.1
울산,202104,11.8
울산,202104,14.7
울산,202104,12.9
울산,202104,9
울산,202104,8.9
울산,202104,12.1
울산,202104,13.2
울산,202104,16.9
울산,202104,10.4
울산,202104,11.3
울산,202104,14.4
울산,202104,13.9
울산,202104,11.8
울산,202104,17.1
