HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,180,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,37,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,33,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,46,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,93,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,106,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,57,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,185,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,37,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,50,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,49,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,14,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,93,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,147,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,43,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,172,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,68,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,61,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,243,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,200,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,43,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,94,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,127,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,70,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,121,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,76,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,156,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,44,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,102,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
다세대주택(빌라),경남,양산시,교동,56,2.5,0,0,0,1,6,21,30,31,31,31,31,11,2.170356526
