HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),양산,양산시,교동,74,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,11,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,27,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,45,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,51,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,20,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,18,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,47,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,12,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,31,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,3,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,29,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,33,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,25,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,44,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,40,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,23,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,1,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,9,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,3,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,130,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,32,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,92,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,46,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,33,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,35,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,31,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,9,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,33,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,28,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,45,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,38,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,93,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,33,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,36,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,0,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,72,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,5,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,26,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,51,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,42,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,8,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,7,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,140,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,38,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,29,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,26,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,78,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,25,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,123,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,85,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,0,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,43,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,50,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
다세대주택(빌라),양산,양산시,교동,14,19.8,0,0,0,0,0,0,0,0,0,3,18,10,3.018372462
