HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,86,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,55,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,51,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,0,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,204,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,65,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,268,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,101,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,38,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,135,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,65,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,145,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,0,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,171,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,25,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
다세대주택(빌라),경남,양산시,교동,62,2.9,0,0,2,4,7,22,28,29,30,31,31,11,3.890996571
