HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,25,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,4,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,5,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,0,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,5,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,14,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,9,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,9,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,13,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,350,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,26,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,22,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,31,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,13,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,6,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,25,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,20,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,1,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,23,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,6,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,100,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,36,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,4,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,13,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,2,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,6,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,61,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,12,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,14,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,3,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,0,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,1,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,7,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,10,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,0,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,0,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,14,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,1,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,5,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,41,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,12,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,2,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,15,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,11,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,7,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,6,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,8,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,14,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,6,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,6,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
다세대주택(빌라),경남,양산시,교동,9,23.1,0,0,0,0,0,0,0,0,0,0,0,11,1.076150547
