HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,100,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,39,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,68,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,122,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,31,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,29,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,25,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,25,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,1,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,45,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,29,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,15,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,22,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,5,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,48,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,65,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,5,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,49,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,31,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,119,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
다세대주택(빌라),경남,양산시,교동,8,2.5,0,0,0,4,7,21,27,30,30,30,30,9,2.863527351
