HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,64,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,72,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,30,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,0,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,74,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,119,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,103,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,28,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,2,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,221,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,45,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,15,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,36,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,46,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,32,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,92,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,78,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,159,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,49,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,62,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,71,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,50,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,47,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,106,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,67,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,7,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,3,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,24,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,53,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,129,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,48,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,90,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,75,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,70,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,91,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,52,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,18,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
다세대주택(빌라),경남,양산시,교동,64,11.9,0,0,0,0,0,0,0,2,8,22,29,8,2.87007235
