HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),양산,양산시,교동,36,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,185,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,72,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,44,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,39,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,147,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,28,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,78,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,46,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,28,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,100,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,52,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,103,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,4,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,52,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,90,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,56,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,28,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,45,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,108,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,48,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,13,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,47,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,55,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,50,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,3,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,100,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,127,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,35,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,19,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,1,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,6,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,48,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
다세대주택(빌라),양산,양산시,교동,4,14.9,0,0,0,0,0,0,0,2,10,18,28,9,2.907173121
