HSHD_TYPE_NM,CTPV_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,13,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,1,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,2,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,23,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,0,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,50,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,7,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,25,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,7,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,18,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,11,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,3,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,4,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,14,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,17,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,12,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,11,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,7,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,27,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,17,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,3,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,17,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,7,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,1,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,4,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,15,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,38,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,13,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,16,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,1,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,13,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,25,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,3,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,8,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,9,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,43,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,47,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,2,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,15,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,14,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,14,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,6,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,40,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,26,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,6,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,25,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,9,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,6,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,15,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,90,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
다세대주택(빌라),경남,양산시,교동,0,26.8,0,0,0,0,0,0,0,0,0,0,0,10,1.74927962
