HSHD_TYPE_NM,CTPV_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,남부동,38,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,41,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,20,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,0,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,12,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,1,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,20,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,24,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,17,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,25,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,43,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,18,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,24,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,11,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,27,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,25,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,21,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,14,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,25,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,17,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,12,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
다세대주택(빌라),경남,양산시,남부동,26,23.6,0,0,0,0,0,0,0,0,0,0,1,9,1.734691775
