HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD
다세대주택(빌라),경남,양산시,교동,5,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,0,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,21,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,9,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,30,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,90,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,7,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,32,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,50,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,30,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,22,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,37,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,17,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,8,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,13,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,25,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,9,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,2,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,12,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,49,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,3,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,27,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,16,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,17,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,15,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,18,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,29,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,1,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,19,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,15,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,22,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,0,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,8,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,5,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,23,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,13,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,0,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,4,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,1,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,100,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,33,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,3,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,29,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,26,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,1,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,12,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,2,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,32,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,7,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,10,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,15,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,3,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,17,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,11,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,26,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,6,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,33,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,43,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,2,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,교동,7,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,5,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,11,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,18,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,16,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,100,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,6,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,22,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
다세대주택(빌라),경남,양산시,남부동,0,27.4,0,0,0,0,0,0,0,0,0,0,0,10,1.455764672
