HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD,Unnamed: 19,Unnamed: 20
다세대주택(빌라),경남,양산시,교동,189,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,22,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,80,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,267,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,133,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,129,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,교동,53,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,61,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,123,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,141,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,76,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,192,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,145,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,109,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,142,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
